Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;;;;;;;;;;;;;;;;
Transport;Russia;Transaero;Airlines;Russia;Short Goodwill;-100,000;1082;65;75;74;76;1;3;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;China;China Eastern Airlines;Airlines;China;Complete Goodwill;0,863;1820;1492;1786;1744;1665;0;0;131;125;84;4;10;5;12;12;0;0;;;;;;;;;;;;;;;;
Transport;China;Cathay Pacific Airways;Airlines;China;Complete Goodwill;0,764;1238;1267;1215;1186;1132;1122;1103;1008;962;21;21;23;25;19;21;23;0;;;;;;;;;;;;;;;;
Transport;Latin;Latam Airlines;Airlines;Chile;Short Goodwill;-100,000;3313;3728;4213;164;158;64;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Asia;Singapore Airlines;Airlines;Singapore;Short Goodwill;-100,000;124;0;0;0;0;0;169;1;1;1;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Ryanair Holdings;Airlines;Ireland;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;EasyJet;Airlines;UK;Complete Goodwill;0,557;568;602;579;586;564;572;678;620;571;564;567;539;525;4;5;0;0;;;;;;;;;;;;;;;;
Transport;USA;Alaska Air Group;Airlines;USA;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;China;Hainan Airlines;Airlines;China;Complete Goodwill;0,917;53;54;52;51;49;48;0;16;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Can Aus;Amcor;Containers & Packaging;Australia;Complete Goodwill;0,927;1273;1509;1818;1739;1510;1030;950;961;851;996;1043;0;700;0;340;334;333;;;;;;;;;;;;;;;;
Transport;USA;Rock-Tenn;Containers & Packaging;USA;Complete Goodwill;0,990;1926;1862;1865;1839;749;736;727;365;357;351;297;292;260;260;269;0;0;;;;;;;;;;;;;;;;
Transport;USA;Ball;Containers & Packaging;USA;Complete Goodwill;0,978;2255;2400;2359;2247;2105;2115;1826;1863;1774;1259;1410;1337;1148;616;437;715;0;;;;;;;;;;;;;;;;
Transport;USA;Crown Holdings;Containers & Packaging;USA;Complete Goodwill;0,899;2926;2016;1998;1952;1984;2050;1956;2199;2185;2013;2592;2442;2269;3625;3920;0;0;;;;;;;;;;;;;;;;
Transport;USA;Sealed Air;Containers & Packaging;USA;Complete Goodwill;0,936;3006;3115;3151;4210;1946;1949;1938;1970;1957;1909;1953;1940;1926;1913;1960;1860;0;;;;;;;;;;;;;;;;
Transport;EU;Rexam;Containers & Packaging;UK;Complete Goodwill;0,849;1218;1232;1553;1834;1848;1886;2246;1692;1399;1397;1252;1195;1154;1196;1269;943;0;;;;;;;;;;;;;;;;
Transport;USA;WestRock;Containers & Packaging;USA;Complete Goodwill;0,990;1926;1862;1865;1839;749;736;727;365;357;351;297;292;260;260;269;0;0;;;;;;;;;;;;;;;;
Transport;USA;Union Pacific;Railroads;USA;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;East Japan Railway;Railroads;Japan;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Central Japan Railway;Railroads;Japan;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;West Japan Railway;Railroads;Japan;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Tokyu;Railroads;Japan;Short Goodwill;-100,000;6;13;24;0;0;55;106;94;152;0;0;0;0;214;69;41;0;;;;;;;;;;;;;;;;
Transport;USA;CSX;Railroads;USA;Short Goodwill;-100,000;63;64;0;0;0;0;64;64;73;64;64;0;0;0;0;0;0;;;;;;;;;;;;;;;;
